Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL Central,91,71,1,4.72,162,6167,5449,764,1336,246,24,210,714,116,29,561,1420,0.245,0.322,0.415,0.737,66,168,0.989,28.8
2018,NL Central,88,74,3,4.69,162,6200,5498,759,1369,248,9,205,725,63,32,525,1380,0.249,0.321,0.409,0.73,133,151,0.978,28.1
2017,NL Central,83,79,3,4.7,162,6219,5470,761,1402,284,28,196,728,81,31,593,1348,0.256,0.334,0.426,0.76,94,164,0.984,28
2016,NL Central,86,76,2,4.81,162,6223,5548,779,1415,299,32,225,745,35,26,526,1318,0.255,0.325,0.442,0.767,107,169,0.983,28.5
2015,NL Central,100,62,1,3.99,162,6139,5484,647,1386,288,39,137,619,69,38,506,1267,0.253,0.321,0.394,0.716,96,159,0.984,28.4
2014,NL Central,90,72,1,3.82,162,6086,5426,619,1371,275,21,105,585,57,32,471,1133,0.253,0.32,0.369,0.689,88,145,0.985,28.6
2013,NL Central,97,65,1,4.83,162,6202,5557,783,1494,322,20,125,745,45,22,481,1110,0.269,0.332,0.401,0.733,75,177,0.988,28.7
2012,NL Central,88,74,2,4.72,162,6326,5622,765,1526,290,37,159,732,91,37,533,1192,0.271,0.338,0.421,0.759,107,149,0.983,29.2
2011,NL Central,90,72,2,4.7,162,6242,5532,762,1513,308,22,162,726,57,39,542,978,0.273,0.341,0.425,0.766,116,167,0.982,29.3
2010,NL Central,86,76,2,4.54,162,6241,5542,736,1456,285,18,150,689,79,41,541,1027,0.263,0.332,0.402,0.733,99,172,0.984,28.8
2009,NL Central,91,71,1,4.51,162,6168,5465,730,1436,294,29,160,694,75,31,528,1041,0.263,0.332,0.415,0.747,96,167,0.985,28.5
2008,NL Central,86,76,4,4.81,162,6370,5636,779,1585,283,26,174,744,73,32,577,985,0.281,0.35,0.433,0.783,85,156,0.986,28.8
2007,NL Central,78,84,3,4.48,162,6211,5529,725,1513,279,13,141,690,56,33,506,909,0.274,0.337,0.405,0.743,121,155,0.98,30.2
2006,NL Central,83,78,1,4.85,161,6225,5522,781,1484,292,27,184,745,59,32,531,922,0.269,0.337,0.431,0.769,98,170,0.984,29.6
2005,NL Central,100,62,1,4.97,162,6246,5538,805,1494,287,26,170,757,83,36,534,947,0.27,0.339,0.423,0.762,100,196,0.984,30.8
2004,NL Central,105,57,1,5.28,162,6297,5555,855,1544,319,24,214,817,111,47,548,1085,0.278,0.344,0.46,0.804,97,154,0.985,30.6
2003,NL Central,85,77,3,5.41,162,6466,5672,876,1580,342,32,196,827,82,32,580,952,0.279,0.35,0.454,0.804,77,138,0.987,29.9
2002,NL Central,97,65,1,4.86,162,6246,5505,787,1475,285,26,175,758,86,42,542,927,0.268,0.338,0.425,0.763,103,168,0.983,28.9
2001,NL Central,93,69,2,5.02,162,6177,5450,814,1469,274,32,199,768,91,35,529,1089,0.27,0.339,0.441,0.78,110,156,0.982,28.8
2000,NL Central,95,67,1,5.48,162,6369,5478,887,1481,259,25,235,841,87,51,675,1253,0.27,0.356,0.455,0.812,111,148,0.981,29.7
1999,NL Central,75,86,4,5.02,161,6354,5570,809,1461,274,27,194,763,134,48,613,1202,0.262,0.338,0.426,0.764,132,163,0.978,28.7
1998,NL Central,83,79,3,4.97,163,6413,5593,810,1444,292,30,223,781,133,41,676,1179,0.258,0.341,0.441,0.781,142,160,0.978,30.5
1997,NL Central,73,89,4,4.25,162,6212,5524,689,1409,269,39,144,654,164,60,543,1191,0.255,0.324,0.396,0.72,123,156,0.98,30
1996,NL Central,88,74,1,4.69,162,6177,5502,759,1468,281,31,142,711,149,58,495,1089,0.267,0.33,0.407,0.736,125,139,0.98,30.7
1995,NL Central,62,81,4,3.94,143,5349,4779,563,1182,238,24,107,533,79,46,436,920,0.247,0.314,0.374,0.688,113,156,0.98,28.7
1994,NL Central,53,61,3,4.65,115,4450,3902,535,1026,213,27,108,506,76,46,434,686,0.263,0.339,0.414,0.753,80,119,0.982,28.9
1993,NL East,87,75,3,4.68,162,6279,5551,758,1508,262,34,118,724,153,72,588,882,0.272,0.341,0.395,0.736,159,157,0.975,28
1992,NL East,83,79,3,3.9,162,6230,5594,631,1464,262,44,94,599,208,118,495,996,0.262,0.323,0.375,0.698,94,146,0.985,28.6
1991,NL East,84,78,2,4.02,162,6020,5362,651,1366,239,53,68,599,202,110,532,857,0.255,0.322,0.357,0.679,107,133,0.982,28.5
1990,NL East,70,92,6,3.7,162,6127,5462,599,1398,255,41,73,554,221,74,517,844,0.256,0.32,0.358,0.678,130,114,0.979,29.4
1989,NL East,86,76,3,3.85,164,6141,5492,632,1418,263,47,73,587,155,54,507,848,0.258,0.321,0.363,0.684,112,134,0.982,29.3
1988,NL East,76,86,5,3.57,162,6177,5518,578,1373,207,33,71,536,234,64,484,827,0.249,0.309,0.337,0.646,121,131,0.981,28.1
1987,NL East,95,67,1,4.93,162,6299,5500,798,1449,252,49,94,746,248,72,644,933,0.263,0.34,0.378,0.718,116,172,0.982,28.1
1986,NL East,79,82,3,3.73,161,6122,5378,601,1270,216,48,58,550,262,78,568,905,0.236,0.309,0.327,0.636,123,178,0.981,27.4
1985,NL East,101,61,1,4.61,162,6182,5467,747,1446,245,59,87,687,314,96,586,853,0.264,0.335,0.379,0.714,108,166,0.983,27.7
1984,NL East,84,78,3,4.02,162,6091,5433,652,1369,225,44,75,610,220,71,516,924,0.252,0.317,0.351,0.668,118,184,0.982,28.2
1983,NL East,79,83,4,4.19,162,6242,5550,679,1496,262,63,83,636,207,89,543,879,0.27,0.335,0.384,0.719,152,173,0.976,27.5
1982,NL East,92,70,1,4.23,162,6198,5455,685,1439,239,52,67,632,200,91,569,805,0.264,0.334,0.364,0.697,124,169,0.981,27.8
1981,NL East,59,43,1,4.5,103,4014,3537,464,936,158,45,50,431,88,45,379,495,0.265,0.336,0.377,0.713,82,108,0.981,27.5
1980,NL East,74,88,4,4.56,162,6204,5608,738,1541,300,49,101,688,117,54,451,781,0.275,0.328,0.4,0.728,122,174,0.981,27.3
1979,NL East,86,76,3,4.48,163,6347,5734,731,1594,279,63,100,685,116,69,460,838,0.278,0.331,0.401,0.732,132,166,0.98,27.4
1978,NL East,69,93,5,3.7,162,5966,5415,600,1351,263,44,79,568,97,42,420,713,0.249,0.303,0.358,0.661,136,155,0.978,26.9
1977,NL East,83,79,3,4.55,162,6136,5527,737,1490,252,56,96,686,134,112,489,823,0.27,0.33,0.388,0.718,139,174,0.978,26.3
1976,NL East,72,90,5,3.88,162,6182,5516,629,1432,243,57,63,584,123,55,512,860,0.26,0.323,0.359,0.681,174,163,0.973,27.2
